id_puesto;idzona_puesto;num_puesto;nombre_puesto;estado_puesto
104;18;02;EMC SIMON BOLIVAR;1
105;19;20;EL CARMEN DE ARIGUANI;1
106;19;30;ALEJANDRIA;1
107;19;35;PUEBLO NUEVO;1
108;19;70;SAN JOSE DE ARIGUANI;1
109;20;00;PUESTO CABECERA MUNICIPAL;1
110;21;05;CANDELARIA;1
111;21;09;CONCEPCION (COCOSOLO);1
112;21;21;PUERTO NI¥O;1
113;21;30;JESUS DEL MONTE;1
114;22;00;PUESTO CABECERA MUNICIPAL;1
115;23;10;EL PLAN;1
116;23;30;LA POLA;1
117;23;45;LA CHINA;1
118;23;50;LA ESTRELLA;1
119;23;69;PUEBLO NUEVO;1
120;24;01;I.E. ISAAC J. PEREIRA;1
121;24;02;INFOTEP;1
122;24;03;COL VIRGINIA GOMEZ SD CUATRO;1
123;24;04;I.E.LA MARIA;1
124;24;05;I.E.LA ALIANZA;1
125;25;01;I.E. SAN JUAN DEL CORDOBA;1
126;25;02;I.E.T.COMERCIO VIRGINIA GOMEZ;1
127;25;03;I.E.ENOC MENDOZA RIASCOS;1
128;25;04;I.E.LICEO MODERNO DEL SUR;1
129;25;05;I.E.LICEO MODERNO DEL SUR,SD.4;1
130;25;06;I.E.EL CARMEN;1
131;25;07;I.E.MANUEL J. DEL CASTILLO;1
132;25;08;I.E. 12 DE OCTUBRE;1
133;26;01;IE VIRGINIA GOMEZ SEDE 3;1
134;27;04;SAN PEDRO DE LA SIERRA;1
135;27;07;PALMOR;1
136;27;10;LA ISABEL;1
137;27;13;SIBERIA;1
138;27;20;SEVILLANO;1
139;27;21;CORDOBITA;1
140;27;25;SAN JAVIER;1
141;28;00;PUESTO CABECERA MUNICIPAL;1
142;29;05;BALSAMO;1
143;29;10;BELLAVISTA;1
144;29;35;ROSARIO DE CHENGUE;1
145;30;01;ESCUELA LUIS LOPEZ DE MEZA;1
146;30;02;COL. SANTA TERESA DE JESUS;1
147;30;03;ESCUELA URBANA MIXTA LA CANDELARIA;1
148;31;01;I.E.D. JOSE BENITO BARROS PALO;1
149;31;02;COL. ARCESIO CALIS AMADOR;1
150;31;03;ESC. URBANA MIXTA LAS PALMAS SEDE No 2;1
151;32;01;COLEGIO MARCO FIDEL SUAREZ;1
152;33;01;CARCEL DEL CIRCUITO;1
153;34;01;AGUAESTRADA;1
154;34;05;ALGARROBAL;1
155;34;07;BARRANCO DE CHILLOA;1
156;34;09;BOTILLERO;1
157;34;11;BELEN;1
158;34;13;CA¥O DE PALMA;1
159;34;17;EL CEDRO;1
160;34;20;EL CERRITO;1
161;34;21;EL TREBOL;1
162;34;22;GARZON;1
163;34;25;HATILLO DE LA SABANA;1
164;34;29;LOS NEGRITOS (BASTIDAS);1
165;34;35;MATA DE CA¥A;1
166;34;36;PUEBLO NUEVO;1
167;34;37;MENCHIQUEJO;1
168;34;38;FELIPE EDUARDO;1
169;34;39;SAN JOSE;1
170;34;40;SAN ROQUE;1
171;34;41;TAMALAMEQUITO;1
172;34;45;SABANAS DE MALPICA;1
173;34;46;SAN EDUARDO;1
174;35;00;PUESTO CABECERA MUNICIPAL;1
175;36;01;CAMPOALEGRE;1
176;36;05;CANTAGALLAR;1
177;36;09;CARRETO;1
178;36;10;LAS PAVITAS;1
179;36;13;PLAYON DE OROZCO;1
180;36;17;SABANAS;1
181;36;21;SAN BASILIO;1
182;36;25;TIO GOLLO;1
183;36;43;VASQUEZ;1
184;36;45;VERANILLO;1
185;37;00;PUESTO CABECERA MUNICIPAL;1
186;38;40;LA COLOMBIA;1
187;38;70;SAN SEBASTIAN DEL BONGO;1
188;39;01;PARQUE 7 DE AGOSTO;1
189;39;02;IE COLOMBIA;1
190;39;03;IED FUNDACION;1
191;40;01;I.E. JHON F. KENNEDY 16 DE JULIO;1
192;40;02;C.D.I. LA LUZ;1
193;40;03;I.E.DEPTAL FCO DE PAULA SANTA;1
194;41;01;JHON F. KENNEDY PPAL;1
195;42;09;DO¥A MARIA;1
196;42;13;SANTA ROSA DE LIMA;1
197;42;40;SACRAMENTO;1
198;42;80;SANTA CLARA;1
199;43;00;PUESTO CABECERA MUNICIPAL;1
200;44;01;GUAIMARAL;1
201;44;02;BELLAVISTA;1
202;44;03;CASA DE TABLA;1
203;44;04;LAS FLORES;1
204;44;05;HATOVIEJO;1
205;44;06;PEDREGOZA (LA RINCONADA);1
206;44;07;LOS ANDES;1
207;44;08;LA CEIBA;1
208;44;09;MURILLO;1
209;44;10;PAJARAL;1
210;44;11;PARACO;1
211;44;13;PAMPAN;1
212;44;15;PLAYAS BLANCAS;1
213;44;17;RICAURTE;1
214;44;21;SALVADORA;1
215;44;22;SAN ANTONIO;1
216;44;23;SAN ISIDRO;1
217;44;24;SAN PEDRO;1
218;44;25;URQUIJO;1
219;44;45;SANTA TERESITA;1
220;44;50;SITIONUEVO;1
221;44;70;VILLANUEVA;1
222;45;00;PUESTO CABECERA MUNICIPAL;1
223;46;07;EL BAJO;1
224;46;14;LAS TINAS;1
225;46;15;LA GLORIA;1
226;46;16;LOS ANDES;1
227;46;40;SAN JOSE DE BALLESTEROS;1
228;47;00;PUESTO CABECERA MUNICIPAL;1
229;48;01;BAHIAHONDA;1
230;48;09;BOMBA;1
231;48;25;GUAQUIRI;1
232;48;29;HEREDIA;1
233;49;00;PUESTO CABECERA MUNICIPAL;1
234;50;10;CABRERA;1
235;50;15;CASA BLANCA;1
236;50;16;EL BRILLANTE;1
237;50;18;EL DIVIDIVI;1
238;50;20;FILADELFIA;1
239;50;25;LAS MARIAS;1
240;50;35;LAS PLANADAS;1
241;50;40;SAN JOSE DE PREVENCION;1
242;50;50;SAN MARTIN DE LA LUCHA;1
243;50;55;EL PELADERO;1
244;50;60;NUEVA HOLANDA;1
245;51;01;ESCUELA URBANA DE VARONES;1
246;51;02;COLEGIO BEATRIZ COTES;1
247;52;01;COLEGIO SIMON BOLIVAR;1
248;52;02;LICEO PIVIJAY;1
249;53;01;COLEGIO MARIA INMACULADA;1
250;54;01;MEDIA LUNA;1
251;54;06;GARRAPATA;1
252;54;09;LAS PIEDRAS;1
253;54;17;PLACITAS;1
254;54;21;LAS CANOAS;1
255;54;25;PI¥UELAS;1
256;54;29;PARAISO;1
257;54;37;CARABALLO;1
258;54;41;CHINOBLAS;1
259;54;45;AVIANCA;1
260;54;49;SALAMINITA;1
261;54;75;EL CARMEN DEL MAGDALENA;1
262;55;00;PUESTO CABECERA MUNICIPAL;1
263;56;01;BOCAS DE ARACATACA;1
264;56;04;ISLA DE CATAQUITA;1
265;56;05;ISLA DEL ROSARIO;1
266;56;09;TASAJERAS;1
267;56;10;TIERRA NUEVA;1
268;56;15;NUEVA FRONTERA;1
269;56;20;PALMIRA;1
270;56;40;SAN JUAN DE PALOS PRIETO;1
271;57;00;PUESTO CABECERA MUNICIPAL;1
272;58;09;CORRALVIEJO;1
273;58;10;EL DIVIDIVI;1
274;58;11;MARTINETE;1
275;58;13;KIOSCO COMUNAL DE SANTA RITA;1
276;58;17;SAN RAFAEL DE BUENAVISTA;1
277;58;20;EL SALADO;1
278;58;30;SAN JOSE DE LAS CASITAS;1
279;59;00;PUESTO CABECERA MUNICIPAL;1
280;60;10;CASA DE TABLAS;1
281;60;11;ESTACION VILLA;1
282;60;15;EL MANANTIAL;1
283;60;20;CESPEDES;1
284;60;25;FLORES DE MARIA;1
285;60;30;SAN ROQUE (LAS MULAS);1
286;60;33;ALBERTO CABALLERO;1
287;60;40;RESGUARDO INDIGENA ISSA ORISTUNA;1
288;60;45;BRASIL 1;1
289;60;55;PUEBLITO DE LOS BARRIOS;1
290;61;00;PUESTO CABECERA MUNICIPAL;1
291;62;01;GUAIMARO;1
292;63;00;PUESTO CABECERA MUNICIPAL;1
293;64;01;ANGOSTURA;1
294;64;02;BERMEJAL;1
295;64;03;JANEIRO;1
296;64;04;EL HORNO;1
297;64;05;LA MONTA¥A (LOS SACUDIDOS);1
298;64;09;EL PALOMAR;1
299;64;11;GUINEA;1
300;64;13;PE¥ONCITO;1
301;64;15;PUERTO ARTURO;1
302;64;17;SANTA TERESA;1
303;65;00;PUESTO CABECERA MUNICIPAL;1
304;66;05;BARRO BLANCO;1
305;66;10;GERMANIA;1
306;66;11;JARABA;1
307;66;25;SAN FERNANDO;1
308;66;30;PUERTO LIMON;1
309;66;50;SANTA ROSA;1
310;67;00;PUESTO CABECERA MUNICIPAL;1
311;68;05;CARRETAL;1
312;68;10;CIENEGUETA;1
313;68;15;CUNDINAMARCA;1
314;68;30;MONTELIRIO;1
315;68;41;SAN PEDRO;1
316;68;80;VELADERO;1
317;69;00;PUESTO CABECERA MUNICIPAL;1
318;70;01;BUENAVISTA;1
319;70;05;NUEVA VENECIA (EL MORRO);1
320;70;09;PALERMO;1
321;70;15;SAN ANTONIO;1
322;71;00;PUESTO CABECERA MUNICIPAL;1
